Store Name,Borough,Latitude,Longitude,NTA
Naranjal Grocery,Bronx,40.84911,-73.905415,Mount Hope
Omale New York Grocery,Bronx,40.850097,-73.886683,East Tremont
Vasquez Deli Grocery,Bronx,40.845028,-73.890002,East Tremont
Webster Food Corp,Bronx,40.85091,-73.899032,Mount Hope
Almontaser Enterprises LLC,Brooklyn,40.678053,-73.891478,East New York
Habibi Gourmet Deli,Brooklyn,40.677879,-73.892772,Cypress Hills-City Line
J & K Grocery,Brooklyn,40.677742,-73.893678,Cypress Hills-City Line
La Vega Grocery,Brooklyn,40.677936,-73.892268,East New York
Marien Groceries Corp.,Brooklyn,40.678656,-73.896416,Cypress Hills-City Line
One Apple Grocery Store,Brooklyn,40.69016,-73.907173,Bushwick North
Plaza Meat Market,Brooklyn,40.68619,-73.908898,Bushwick South
Shorty Meat Farm,Brooklyn,40.679549,-73.885916,Cypress Hills-City Line
Sunny Supermarket,Brooklyn,40.68039,-73.892682,Cypress Hills-City Line
VLT Mini Market Inc.,Brooklyn,40.678348,-73.889747,Cypress Hills-City Line
Comidas Dominicanas Capellan Deli,New York,40.798843,-73.943587,East Harlem North
Deli Superette,New York,40.798118,-73.942006,East Harlem North
Puchito Grocery,New York,40.792642,-73.940956,East Harlem North
Annabelle Deli,New York,40.792729,-73.940913,East Harlem North
Juice Bar Deli,New York,40.796768,-73.937236,East Harlem North
AA Deli and Grocery,New York,40.792074,-73.941372,East Harlem South
Mini Market Corps,New York,40.79235,-73.946215,East Harlem South
Madison Deli and Grocery,New York,40.792753,-73.950144,East Harlem South
El Tepeyac Grocery,New York,40.789922,-73.947961,East Harlem South
Mi Mexico Mini Market,New York,40.790605,-73.946469,East Harlem South
East Side Gourmet Deli,New York,40.789515,-73.946163,East Harlem South
2015 Food Deli,New York,40.788176,-73.941133,East Harlem South
JJ Food  Market,New York,40.787686,-73.94923,East Harlem South
Deli Mini Mart,New York,40.79565,-73.936703,East Harlem North
